ID,CONTINENT,min_lon,min_lat,LABEL
409761,2,-59.15891236180475,47.6719751607116,0
409803,2,-59.02039214499352,47.66254285022834,0
409811,2,-59.00422246987938,47.74204375287292,4
409813,2,-58.99505965398136,47.756596460475656,0
409815,2,-58.99155622437328,48.55160548692143,0
409822,2,-58.962989798338285,47.702697543428485,0
409857,2,-58.86866669350575,47.84849411404108,0
409869,2,-58.81261181977668,48.18293689431878,3
409887,2,-58.777038534525545,47.74150476370245,0
409894,2,-58.76949268613895,47.89942859065066,0
409896,2,-58.76491127818993,47.969227688226745,0
409914,2,-58.73041597127974,47.88945729099693,0
409974,2,-58.65765243326607,47.929611984197074,0
409979,2,-58.64902860653852,47.64933761555179,0
409995,2,-58.63043348015724,47.94362570262934,0
410028,2,-58.58488889525238,47.85199754364915,0
410038,2,-58.57788203603626,48.09400368119095,0
410055,2,-58.55497499629121,47.79863761577245,0
410077,2,-58.52667806484144,47.975426063687166,0
410079,2,-58.53745784825087,47.97892949329524,0
410090,2,-58.51104737889776,47.78893581070396,0
410098,2,-58.49757264963597,48.55699537862615,0
410114,2,-58.47870802866946,47.71536378893457,0
410124,2,-58.4655027939929,47.954944475209246,0
410145,2,-58.43424142210554,49.06148924218768,0
410175,2,-58.39866813685441,48.31795368152194,0
410184,2,-58.39381723432017,48.55726487321138,3
410230,2,-58.34611669273342,48.03363689409812,0
410240,2,-58.33371994181256,48.31633671401053,0
410248,2,-58.32967752303402,48.01908418649538,0
410268,2,-58.30650098870375,48.00318400596646,0
410350,2,-58.22053221601351,48.279685450418455,0
410360,2,-58.21460333513832,48.4093123459169,0
410364,2,-58.2092134434336,48.06301180388883,0
410373,2,-58.201937089632224,48.48908274314671,0
410386,2,-58.19331326290468,47.837444836046416,0
410406,2,-58.1768740932053,47.70539248928084,0
410431,2,-58.15854846140925,48.21231180410949,0
410437,2,-58.15720098848308,47.8261260634665,0
410441,2,-58.15369755887501,48.06597624432642,0
410451,2,-58.14399575380652,49.389464152419706,0
410452,2,-58.14022282961322,49.38461324988546,0
410496,2,-58.1054580281178,48.45836036042982,0
410599,2,-58.004936547824826,49.36062823179947,0
410635,2,-57.972597197596514,47.93688833799844,0
410646,2,-57.96343438169849,48.54379014394959,0
410653,2,-57.961008930431376,48.86448870038026,0
410711,2,-57.91627282928222,48.87850241881252,0
410739,2,-57.896599724560005,48.725698988983794,0
410752,2,-57.88662842490628,48.03929628038807,0
410766,2,-57.877465609008254,48.74968400706979,0
410781,2,-57.86560784725788,49.80071288948962,0
410782,2,-57.86479936350217,48.34032173209652,0
410807,2,-57.84782120463231,48.070827146860665,0
410853,2,-57.822758208205386,48.09400368119095,0
410869,2,-57.81602084357448,48.30097552265208,0
410880,2,-57.80901398435836,49.23046234713056,0
410888,2,-57.80146813597175,49.38272678778881,0
410922,2,-57.778830590811936,48.12257010722595,0
410955,2,-57.7672423236468,47.75255404169712,0
410968,2,-57.76104394818637,48.73674826697847,0
410979,2,-57.755923551066886,47.76117786842467,0
411006,2,-57.74298781097556,49.17332949506056,0
411055,2,-57.70445008528684,49.6953405066624,0
411070,2,-57.69906019358213,49.05987227467625,0
411084,2,-57.69070586143981,48.97363400740078,0
411097,2,-57.68100405637132,49.2428590980514,0
411131,2,-57.66186994081957,47.72722155068495,0
411156,2,-57.63977138483024,49.28328328583678,0
411161,2,-57.64084936317117,48.43518382609954,0
411170,2,-57.63411199854028,48.13847028775486,0
411173,2,-57.64138835234165,47.63774934838664,0
411247,2,-57.5974607349482,48.61412823069615,0
411253,2,-57.594496294510606,49.53040982049807,0
411268,2,-57.58668095153877,49.899886896856415,0
411281,2,-57.57131976018033,48.22497804961557,0
411292,2,-57.57131976018033,47.68922281416669,0
411319,2,-57.55488059048093,48.20153202070006,0
411353,2,-57.53035658322448,47.73449790448632,0
411386,2,-57.50259864094518,48.22686451171222,0
411453,2,-57.47160676364307,49.38676920656735,0
411465,2,-57.46325243150075,49.37302498272032,4
411494,2,-57.45004719682419,48.55618689487044,4
411498,2,-57.450586185994666,48.50309646157898,0
411523,2,-57.43091308127245,48.20799989074571,0
411526,2,-57.4327995433691,49.8621576549234,0
411588,2,-57.39237535558373,47.72129266980976,0
411593,2,-57.386176980123295,47.69137877084857,0
411665,2,-57.33227806307612,49.79397552485873,0
411729,2,-57.27514521100612,49.34472805127056,0
411756,2,-57.25062120374966,48.167575702960335,0
411770,2,-57.23687697990263,48.71060729221058,0
411786,2,-57.222863261470366,48.300436533481616,0
411794,2,-57.22124629395896,47.69973310299089,0
411798,2,-57.21801235893612,49.42153400806278,0
411801,2,-57.21612589683947,48.14898057657906,0
411808,2,-57.21100549971999,47.7681847276408,0
411879,2,-57.16465243105942,49.757593755851886,0
411892,2,-57.15818456101376,48.90868581235894,0
411894,2,-57.15872355018424,47.81777173132419,0
411916,2,-57.14417084258149,48.08052895192915,0
411920,2,-57.13985892921772,47.75578797671994,0
411928,2,-57.13527752126871,49.74142408073774,0
411930,2,-57.13285207000159,48.3882917682685,0
411933,2,-57.131774091660645,48.698749530460205,0
411952,2,-57.12018582449551,49.31158021728655,0
411956,2,-57.11829936239886,48.64053870004926,4
412004,2,-57.09539232265381,49.52286397211146,0
412011,2,-57.09161939846051,48.43922624487808,0
412016,2,-57.08838546343768,49.08224032525084,0
412018,2,-57.08892445260814,49.65599429721797,0
412025,2,-57.088654958022914,49.90446830480544,0
412074,2,-57.05335116735701,48.94425909761007,4
412125,2,-57.0193948496173,47.756596460475656,0
412194,2,-56.98058762934333,49.420186535136594,0
412210,2,-56.97331127554196,47.692187254604285,0
412235,2,-56.95040423579691,49.82038599421185,0
